Review	Liked
I expected confusing, not this: impressive fans.	1
Not impressive at all — the check-in was actually forgettable.	0
I absolutely liked the drinks; it was outstanding.	1
a pleasant surprise. The fans felt impressive.	1
I thought it would be pleasant, but it was not; it was poor.	0
The strategy started outstanding; even though the fans ended up terrible. Overall, I'd recommend it.	1
From start to finish, the portion was excellent. exactly what I needed.	1
The delay was excellent and solid. high quality overall. I'd tell a friend about it.	1
It’s not that it was forgettable; it was lovely.	1
well executed. The soundtrack felt reliable. I'd pay for it again.	1
It’s not that it was outstanding; it was confusing. It felt rushed.	0
I enjoyed the team, but the strategy bothered me. Overall, I'd recommend it.	1
The waiter was lovely, yet the service was confusing. Overall, I'd recommend it.	1
I valued the soundtrack, yet the plot annoyed me. Overall, I'd recommend it. I'd pay for it again.	1
From start to finish, the waiter was poor. worse than expected.	0
I expected annoying, not this: excellent hotel.	1
made my day. The performance felt reliable.	1
From start to finish, the fans was annoying. poorly executed.	0
I valued the dialogue, even though the soundtrack annoyed me. Overall, I'd recommend it. I'd tell a friend about it.	1
From start to finish, the referee was lovely. worth every minute. It felt carefully made.	1
I expected forgettable, not this: solid soundtrack.	1
The room was terrible, but the staff was reliable. Overall, I wouldn't recommend it.	0
worse than expected. The referee felt poor.	0
genuinely pleasant at first, but it became confusing after a while. Overall, I'd recommend it. I'd pay for it again.	1
From start to finish, the update was messy. felt cheap.	0
The reservation started boring; even though the service ended up impressive. Overall, I wouldn't recommend it.	0
From start to finish, the transfer was outstanding. better than expected.	1
ruined the experience. The check-in felt forgettable.	0
The coach started confusing; however the strategy ended up impressive. Overall, I wouldn't recommend it.	0
The plot was inconsistent and boring. poorly executed.	0
The dessert started poor; however the reservation ended up smooth. Overall, I wouldn't recommend it.	0
From start to finish, the setlist was annoying. not worth the money.	0
The meal was terrible and annoying. a complete waste of time. I wouldn't waste money on it again.	0
I enjoyed the delay, even though the stadium disappointed me. Overall, I'd recommend it. I'd tell a friend about it.	1
better than expected. The menu felt smooth.	1
From start to finish, the delay was pleasant. a pleasant surprise.	1
I won’t be coming back. The luggage felt disappointing.	0
From start to finish, the luggage was reliable. well executed. I'd pay for it again.	1
